,INT_ANY,INT_IDEO,INT_LOG,INT_MISC,addnotes,alternative,alternative_txt,approxdate,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,city,claim2,claim3,claimed,claimmode,claimmode2,claimmode2_txt,claimmode3,claimmode3_txt,claimmode_txt,compclaim,corp1,corp2,corp3,country,country_txt,crit1,crit2,crit3,dbsource,divert,doubtterr,eventid,extended,gname,gname2,gname3,gsubname,gsubname2,gsubname3,guncertain1,guncertain2,guncertain3,hostkidoutcome,hostkidoutcome_txt,iday,imonth,ingroup,ingroup2,ingroup3,ishostkid,iyear,kidhijcountry,latitude,location,longitude,motive,multiple,natlty1,natlty1_txt,natlty2,natlty2_txt,natlty3,natlty3_txt,ndays,nhostkid,nhostkidus,nhours,nkill,nkillter,nkillus,nperpcap,nperps,nreleased,nwound,nwoundte,nwoundus,propcomment,property,propextent,propextent_txt,propvalue,provstate,ransom,ransomamt,ransomamtus,ransomnote,ransompaid,ransompaidus,region,region_txt,related,resolution,scite1,scite2,scite3,specificity,success,suicide,summary,target1,target2,target3,targsubtype1,targsubtype1_txt,targsubtype2,targsubtype2_txt,targsubtype3,targsubtype3_txt,targtype1,targtype1_txt,targtype2,targtype2_txt,targtype3,targtype3_txt,vicinity,weapdetail,weapsubtype1,weapsubtype1_txt,weapsubtype2,weapsubtype2_txt,weapsubtype3,weapsubtype3_txt,weapsubtype4,weapsubtype4_txt,weaptype1,weaptype1_txt,weaptype2,weaptype2_txt,weaptype3,weaptype3_txt,weaptype4,weaptype4_txt,datetime
14898,,,,,,,,2016-01-03 00:00:00,3,Bombing/Explosion,,,,,Baghdad,,,0.0,,,,,,,,Unknown,,,95.0,Iraq,1,1,1,,,0,201601030003,0.0,Unknown,,,,,,0.0,,,,,3,1,,,,0.0,2016,,33.254746,The incident occurred in the Jisr Diyala area in the Karada neighborhood.,44.505496,,0.0,95.0,Iraq,,,,,,,,,1.0,0.0,0.0,0.0,-99.0,,6.0,0.0,0.0,It is unknown if any property was damaged in this attack.,-9,,,,Baghdad,,,,,,,10.0,Middle East & North Africa,,,"""Iraq: Roundup of Security Incidents 29 December-4 January 2016,"" OSC Summary, December 29, 2015.",,,0.0,1,0,"01/03/2016: An explosive device detonated near a restaurant in Jisr Diyala area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and six people were injured in the blast. No group claimed responsibility for the incident.",Restaurant,,,2.0,Restaurant/Bar/Cafe,,,,,1.0,Business,,,,,0.0,,16.0,Unknown Explosive Type,,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-03
14899,,,,,,,,,3,Bombing/Explosion,,,,,Saba al-Bor,,,0.0,,,,,,,,Unknown,,,95.0,Iraq,1,1,1,,,0,201601030004,0.0,Unknown,,,,,,0.0,,,,,3,1,,,,0.0,2016,,33.464423,,44.153582,,0.0,95.0,Iraq,,,,,,,,,2.0,0.0,0.0,0.0,-99.0,,7.0,0.0,0.0,It is unknown if any property was damaged in this attack.,-9,,,,Saladin,,,,,,,10.0,Middle East & North Africa,,,"""Iraq: Roundup of Security Incidents 29 December-4 January 2016,"" OSC Summary, December 29, 2015.",,,1.0,1,0,"01/03/2016: An explosive device detonated near a market in Saba al-Bor, Saladin, Iraq. At least two people were killed and seven people were injured in the blast. No group claimed responsibility for the incident.",Market,,,74.0,Marketplace/plaza/square,,,,,14.0,Private Citizens & Property,,,,,0.0,,16.0,Unknown Explosive Type,,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-03
14900,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here.",,,,3,Bombing/Explosion,,,,,Tikrit,,,1.0,4.0,,,,,E-mail,,Iraqi Police Service (IPS),,,95.0,Iraq,1,1,1,,,0,201601030006,0.0,Islamic State of Iraq and the Levant (ISIL),,,,,,0.0,,,,,3,1,,,,0.0,2016,,34.675551,The incident occurred at Camp Speicher.,43.550642,,0.0,95.0,Iraq,,,,,,,,,11.0,2.0,0.0,0.0,5.0,,7.0,0.0,0.0,It is unknown if any property was damaged in this attack.,-9,,,,Saladin,,,,,,,10.0,Middle East & North Africa,,,"""ISIS suicide bombers attack Iraqi forces at base near Ramadi,"" CNN Wire, January 3, 2016.","""Attack on Iraqi military base kills at least 15: sources,"" Reuters, January 3, 2016.","""Singapore: Attack on Iraqi military base kills at least 15: Sources,"" Channel NewsAsia Online, January 3, 2016.",0.0,1,1,"01/03/2016: At least two suicide bombers detonated explosives-laden vehicles at a police training camp at Camp Speicher near Tikrit, Saladin, Iraq. In addition to the assailants, at least nine police officers were killed and seven officers were injured in the blasts. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.",Camp Speicher,,,22.0,Police Buildings (Headquarters/Stations/School),,,,,3.0,Police,,,,,1.0,Explosives-laden vehicles and explosives-laden belts were used in the attack.,15.0,Vehicle,13.0,Suicide (carried bodily by human being),,,,,6,Explosives/Bombs/Dynamite,6.0,Explosives/Bombs/Dynamite,,,,,2016-01-03
14901,,,,,,,,,3,Bombing/Explosion,,,,,Hillah,,,0.0,,,,,,,,Ammar Bin Yasir Mosque,,,95.0,Iraq,1,1,1,,,0,201601030007,0.0,Islamic State of Iraq and the Levant (ISIL),,,,,,0.0,,,,,3,1,,,,0.0,2016,,32.487236,The incident occurred in the Hayy al Bakri area.,44.456112,"The specific motive is unknown; however, sources suspected that the attack, which targeted a Sunni mosque, was part of a larger trend of sectarian violence between Iraq's Sunni minority and Shiite majority communities.",1.0,95.0,Iraq,,,,,,,,,0.0,0.0,0.0,0.0,-99.0,,0.0,0.0,0.0,A mosque was damaged in this attack.,1,3.0,Minor (likely < $1 million),-99.0,Babil,,,,,,,10.0,Middle East & North Africa,,,"""Deadly attacks hit Sunni mosques in Iraq,"" Al Jazeera, January 4, 2016.","""Iraqi PM orders manhunt for attackers of Sunni mosques,"" Xinhua News Agency, January 4, 2016.","""Unidentified Gunmen Attack 3 Sunni Mosques in Southern Iraq,"" Latin American Herald Tribune, January 4, 2016.",0.0,1,0,"01/03/2016: Explosive devices detonated at the Ammar Bin Yasir Mosque in Hayy al Bakri, Hillah, Babil, Iraq. This was one of three similar incidents in the area. There were no reported casualties resulting from the three attacks. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).",Mosque,,,86.0,Places of worship,,,,,15.0,Religious Figures/Institutions,,,,,0.0,,16.0,Unknown Explosive Type,,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-03
14902,,,,,,,,,3,Bombing/Explosion,,,,,Sinjar,,,0.0,,,,,,,,Al Fath Mosque,,,95.0,Iraq,1,1,1,,,0,201601030008,0.0,Islamic State of Iraq and the Levant (ISIL),,,,,,0.0,,,,,3,1,,,,0.0,2016,,32.531145,,44.411396,"The specific motive is unknown; however, sources suspected that the attack, which targeted a Sunni mosque, was part of a larger trend of sectarian violence between Iraq's Sunni minority and Shiite majority communities.",1.0,95.0,Iraq,,,,,,,,,0.0,0.0,0.0,0.0,-99.0,,0.0,0.0,0.0,A mosque was damaged in this attack.,1,3.0,Minor (likely < $1 million),-99.0,Babil,,,,,,,10.0,Middle East & North Africa,,,"""Deadly attacks hit Sunni mosques in Iraq,"" Al Jazeera, January 4, 2016.","""Iraqi PM orders manhunt for attackers of Sunni mosques,"" Xinhua News Agency, January 4, 2016.","""Unidentified Gunmen Attack 3 Sunni Mosques in Southern Iraq,"" Latin American Herald Tribune, January 4, 2016.",1.0,1,0,"01/03/2016: Explosive devices detonated at the Al Fath Mosque in Sinjar, Babil, Iraq. This was one of three similar incidents in the area. There were no reported casualties resulting from the three attacks. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).",Mosque,,,86.0,Places of worship,,,,,15.0,Religious Figures/Institutions,,,,,0.0,,16.0,Unknown Explosive Type,,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-03
14903,,,,,,,,,3,Bombing/Explosion,,,,,Iskandariyah,,,0.0,,,,,,,,Unknown,,,95.0,Iraq,1,1,1,,,0,201601030009,0.0,Islamic State of Iraq and the Levant (ISIL),,,,,,0.0,,,,,3,1,,,,0.0,2016,,32.889585,,44.347304,"The specific motive is unknown; however, sources suspected that the attack, which targeted a Sunni mosque, was part of a larger trend of sectarian violence between Iraq's Sunni minority and Shiite majority communities.",1.0,95.0,Iraq,,,,,,,,,0.0,0.0,0.0,0.0,-99.0,,0.0,0.0,0.0,A mosque was damaged in this attack.,1,3.0,Minor (likely < $1 million),-99.0,Babil,,,,,,,10.0,Middle East & North Africa,,,"""Deadly attacks hit Sunni mosques in Iraq,"" Al Jazeera, January 4, 2016.","""Iraqi PM orders manhunt for attackers of Sunni mosques,"" Xinhua News Agency, January 4, 2016.","""Unidentified Gunmen Attack 3 Sunni Mosques in Southern Iraq,"" Latin American Herald Tribune, January 4, 2016.",1.0,1,0,"01/03/2016: Explosive devices detonated at a mosque in Iskandariyah, Babil, Iraq. This was one of three similar incidents in the area. There were no reported casualties resulting from the three attacks. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).",Mosque,,,86.0,Places of worship,,,,,15.0,Religious Figures/Institutions,,,,,0.0,,16.0,Unknown Explosive Type,,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-03
14909,,,,,,1.0,Insurgency/Guerilla Action,2016-01-03 00:00:00,3,Bombing/Explosion,9.0,Unknown,,,Hayy al-Jamiah,,,0.0,,,,,,,,Iraqi Army,,,95.0,Iraq,1,1,0,,,1,201601030020,0.0,Islamic State of Iraq and the Levant (ISIL),,,,,,0.0,,,,,3,1,,,,0.0,2016,,33.055448,The incident occurred in the Fallujah district.,43.714248,,0.0,95.0,Iraq,,,,,,,,,9.0,9.0,0.0,0.0,9.0,,0.0,0.0,0.0,,0,,,,Al Anbar,,,,,,,10.0,Middle East & North Africa,,,"""Iraq: Security Roundup 1900 GMT 3 January 2016,"" OSC Summary, January 3, 2016.",,,2.0,0,1,"01/03/2016: Assailants attacked military forces in Hayy al-Jamiah, Fallujah, Al Anbar, Iraq. Security forces repelled the assault, killing nine assailants, including three suicide bombers. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",Forces,,,34.0,"Military Personnel (soldiers, troops, officers, forces)",,,,,4.0,Military,,,,,0.0,Explosives-laden belts were used in the attack.,13.0,Suicide (carried bodily by human being),,,,,,,6,Explosives/Bombs/Dynamite,13.0,Unknown,,,,,2016-01-03
14910,,,,,,,,,3,Bombing/Explosion,9.0,Unknown,,,Hadithah district,,,1.0,4.0,,,,,E-mail,,Hadithah District,,,95.0,Iraq,1,1,1,,,0,201601030021,0.0,Islamic State of Iraq and the Levant (ISIL),,,,,,0.0,,,,,3,1,,,,0.0,2016,,34.266661,,42.528929,,0.0,95.0,Iraq,,,,,,,,,13.0,13.0,0.0,0.0,13.0,,,,0.0,,0,,,,Al Anbar,,,,,,,10.0,Middle East & North Africa,,,"""Suicide attacks kill dozens of troops in Iraq,"" Hiru News, January 4, 2016.","""Iraq: Security Roundup 1900 GMT 3 January 2016,"" OSC Summary, January 3, 2016.","""Terrorism: Roundup of A'maq News Agency Messages 2 - 7 January,"" Tumblr, January 2, 2016.",3.0,0,1,"01/03/2016: Assailants equipped with explosives-laden vehicles attacked Hadithah district, Al Anbar, Iraq. Security forces repelled the assault, killing 13 assailants. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.",District,,,75.0,Village/cities/towns/suburb,,,,,14.0,Private Citizens & Property,,,,,0.0,,15.0,Vehicle,,,,,,,6,Explosives/Bombs/Dynamite,13.0,Unknown,,,,,2016-01-03
14911,,,,,,,,2016-01-03 00:00:00,2,Armed Assault,,,,,Munshaat al-Muthanna,,,1.0,8.0,,,,,Personal claim,,Munshaat al-Muthanna Area,,,95.0,Iraq,1,1,1,,,0,201601030022,0.0,Islamic State of Iraq and the Levant (ISIL),,,,,,0.0,,,,,3,1,,,,0.0,2016,,34.533753,,43.483738,,1.0,95.0,Iraq,,,,,,,,,,,0.0,0.0,-99.0,,,,0.0,,0,,,,Saladin,,,,,,,10.0,Middle East & North Africa,,,"""Iraq: Security Roundup 1900 GMT 3 January 2016,"" OSC Summary, January 3, 2016.","""Terrorism: Transcript of ISIL's Al-Bayan Radio Broadcast for 6 January,"" Twitter, January 6, 2016.",,2.0,0,0,"01/03/2016: Assailants attacked Munshaat al-Muthanna, Saladin, Iraq. This was one of two coordinated attacks on the same day, resulting in an unknown number of casualties. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents.",Area,,,75.0,Village/cities/towns/suburb,,,,,14.0,Private Citizens & Property,,,,,0.0,,5.0,Unknown Gun Type,,,,,,,5,Firearms,,,,,,,2016-01-03
14912,,,,,,,,2016-01-03 00:00:00,2,Armed Assault,,,,,Tharthar,,,1.0,8.0,,,,,Personal claim,,Unknown,,,95.0,Iraq,1,1,1,,,0,201601030023,0.0,Islamic State of Iraq and the Levant (ISIL),,,,,,0.0,,,,,3,1,,,,0.0,2016,,33.686367,The incident occurred in the Ath Tharthar Water Dam area.,43.472891,,1.0,95.0,Iraq,,,,,,,,,,,0.0,0.0,-99.0,,,,0.0,,0,,,,Al Anbar,,,,,,,10.0,Middle East & North Africa,,,"""Iraq: Security Roundup 1900 GMT 3 January 2016,"" OSC Summary, January 3, 2016.","""Terrorism: Transcript of ISIL's Al-Bayan Radio Broadcast for 6 January,"" Twitter, January 6, 2016.",,1.0,0,0,"01/03/2016: Assailants attacked the Ath Tharthar Water Dam area in Tharthar, Al Anbar, Iraq. This was one of two coordinated attacks on the same day, resulting in an unknown number of casualties. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents.",Ath Tharthar Water Dam,,,52.0,Water Supply,,,,,9.0,Food or Water Supply,,,,,0.0,,5.0,Unknown Gun Type,,,,,,,5,Firearms,,,,,,,2016-01-03
