date,date,nkill
2016-10-17,27,26
2016-10-18,22,22
2016-10-19,46,43
2016-10-20,48,45
2016-10-21,33,32
2016-10-22,24,23
2016-10-23,56,56
2016-10-24,34,31
2016-10-25,31,30
2016-10-26,40,39
2016-10-27,48,46
2016-10-28,44,42
2016-10-29,45,44
2016-10-30,33,33
2016-10-31,27,25
2016-11-01,24,22
2016-11-02,39,32
2016-11-03,45,43
2016-11-04,42,40
2016-11-05,41,32
2016-11-06,39,38
2016-11-07,38,33
2016-11-08,39,36
2016-11-09,46,43
2016-11-10,22,22
2016-11-11,21,20
2016-11-12,47,45
2016-11-13,42,40
2016-11-14,35,32
2016-11-15,49,40
2016-11-16,34,32
2016-11-17,30,28
2016-11-18,33,32
2016-11-19,39,37
2016-11-20,47,44
2016-11-21,32,30
2016-11-22,32,31
2016-11-23,43,38
2016-11-24,32,32
2016-11-25,42,37
2016-11-26,40,37
2016-11-27,36,33
2016-11-28,36,29
2016-11-29,23,22
2016-11-30,21,21
2016-12-01,99,99
2016-12-02,21,19
2016-12-03,26,24
2016-12-04,44,35
2016-12-05,24,23
2016-12-06,29,28
2016-12-07,26,26
2016-12-08,23,22
2016-12-09,20,19
2016-12-10,19,16
2016-12-11,31,29
2016-12-12,31,29
2016-12-13,14,13
2016-12-14,31,27
2016-12-15,29,25
2016-12-16,23,23
2016-12-17,23,22
2016-12-18,33,32
2016-12-19,37,33
2016-12-20,18,16
2016-12-21,39,35
2016-12-22,24,21
2016-12-23,22,22
2016-12-24,18,16
2016-12-25,42,41
2016-12-26,20,19
2016-12-27,15,14
2016-12-28,23,21
2016-12-29,31,25
2016-12-30,25,24
2016-12-31,32,29
